1;Aveiro
2;Beja
3;Braga
4;Bragança
5;Castelo Branco
6;Coimbra
7;Évora
8;Faro
9;Guarda
10;Leiria
11;Lisboa
12;Portalegre
13;Porto
14;Santarém
15;Setúbal
16;Viana do Castelo
17;Vila Real
18;Viseu
31;Ilha da Madeira
32;Ilha de Porto Santo
41;Ilha de Santa Maria
42;Ilha de São Miguel
43;Ilha Terceira
44;Ilha da Graciosa
45;Ilha de São Jorge
46;Ilha do Pico
47;Ilha do Faial
48;Ilha das Flores
49;Ilha do Corvo
